ID,url number,ACCIDENT LOCATION,ACCIDENT Date,Victim NUMBER,Vehicle 1,Vehicle 2,Vehicle 3
388,690,Faridpur,3/21/2021 23:52,21,truck,bus,car
389,690,Madhukhali,3/21/2021 23:52,21,truck,bus,car
390,691,Bhanga,3/21/2021 23:52,eight,truck,bus,bike
391,691,Faridpur,3/21/2021 23:52,eight,truck,bus,bike
392,692,Chattogram,3/23/2021 23:52,Two,truck,rickshaw,auto
393,694,Chattogram,3/23/2021 23:52,Two,truck,rickshaw,auto
394,697,Saba,3/26/2021 23:52,Six,bus,,
395,697,Shamsunnahar,3/26/2021 23:52,Six,bus,,
396,703,Chattogram,3/31/2021 23:52,Four,truck,rickshaw,auto
397,703,Chattogram,3/31/2021 23:52,Four,truck,rickshaw,auto
398,707,Sujanagar,4/2/2021 22:04,484,truck,bike,
399,707,Sujanagar,4/2/2021 22:04,484,truck,bike,
400,709,Dhaka,4/2/2021 22:04,2019,car,train,
401,712,Sujanagar,4/3/2021 22:00,One,truck,bike,motorcycle
402,713,Taipei,4/3/2021 22:00,1991,truck,bus,car
403,713,Taiwan,4/3/2021 22:00,1991,truck,bus,car
404,715,Dhaka,4/4/2021 22:02,One,car,auto,
405,715,Sakibul,4/4/2021 22:02,One,car,auto,
406,716,Palpara,4/4/2021 22:02,Three,truck,bike,rickshaw
407,716,Panchgarh,4/4/2021 22:02,Three,truck,bike,rickshaw
408,717,Madanpur,4/4/2021 22:02,One,truck,car,
409,717,Dhaka,4/4/2021 22:02,One,truck,car,
410,720,Munshiganj,4/5/2021 22:10,One,car,,
411,722,Munshiganj,4/5/2021 22:10,One,car,,
412,723,Brahmanbaria,4/5/2021 22:10,One,bus,,
413,725,Munshiganj,4/6/2021 22:04,One,car,,
414,726,Munshiganj,4/6/2021 22:04,One,car,,
415,731,Bangladesh,4/7/2021 22:04,484,truck,bus,rickshaw
416,731,Dhaka,4/7/2021 22:04,484,truck,bus,rickshaw
417,742,Shitalakkhya,4/9/2021 22:02,One,car,,
418,742,Syedpur,4/9/2021 22:02,One,car,,
419,747,Comilla,4/13/2021 22:01,Three,truck,rickshaw,auto
420,748,Narayanganj,4/13/2021 22:01,81,car,,
421,749,Sitakunda,4/13/2021 22:01,One,rickshaw,auto,
424,756,Nagarkanda,4/19/2021 22:02,19,truck,bus,
425,756,Faridpur,4/19/2021 22:02,19,truck,bus,
426,757,Oman,4/19/2021 22:06,Three,car,,
427,758,Cairo,4/19/2021 22:06,11,car,train,auto
428,758,Cairo,4/19/2021 22:06,11,car,train,auto
429,759,Aatgram,4/20/2021 22:02,Eight,truck,motorcycle,
430,770,Bangladesh,4/26/2021 22:01,eighth,car,,
431,770,Bangladesh,4/26/2021 22:01,eighth,car,,
432,771,Tarakanda,4/28/2021 22:44,Three,truck,rickshaw,auto
433,771,Mymensingh,4/28/2021 22:44,Three,truck,rickshaw,auto
436,774,Narayanganj,5/1/2021 22:01,11,truck,motorcycle,
437,774,Sonargaon,5/1/2021 22:01,11,truck,motorcycle,
438,777,Brahmanbaria,5/2/2021 22:01,5,truck,bus,car
439,779,Borhanuddin,5/2/2021 22:01,One,truck,motorcycle,
440,779,Bhola,5/2/2021 22:01,One,truck,motorcycle,
443,787,Madaripur,5/4/2021 23:09,One,bus,car,train
444,790,Madaripur,5/5/2021 22:00,26,car,train,
445,790,district,5/5/2021 22:00,26,car,train,
446,792,Bangladesh,5/6/2021 22:03,26,car,,
447,792,Bangladesh,5/6/2021 22:03,26,car,,
448,795,Madaripur,5/7/2021 22:02,26,car,,
449,795,Padma,5/7/2021 22:02,26,car,,
450,798,Bangladesh,5/7/2021 22:02,400,car,,
451,798,Bangladesh,5/7/2021 22:02,400,car,,
452,799,Lalbag,5/7/2021 23:33,one,truck,motorcycle,rickshaw
453,802,Chittagong,5/10/2021 22:03,Two,truck,rickshaw,auto
454,805,Dhaka,5/12/2021 22:02,12,truck,bus,car
455,805,Gazipur,5/12/2021 22:02,12,truck,bus,car
459,815,Bahrain,5/16/2021 22:05,Three,car,,
460,816,Bahrain,5/16/2021 22:05,Three,car,,
461,819,Taltoli,5/16/2021 22:05,Two,truck,,
462,820,Gulshan,5/17/2021 22:05,One,car,auto,
463,821,Raymoni,5/17/2021 22:05,Three,truck,,
464,822,Mahindra,5/17/2021 22:05,One,truck,,
465,822,Fultola,5/17/2021 22:05,One,truck,,
466,825,Bangladesh,5/18/2021 22:05,16,truck,,
467,825,Netrokona,5/18/2021 22:05,16,truck,,
468,826,Mirzapur,5/19/2021 22:06,10,truck,bus,car
469,826,Ashekpur,5/19/2021 22:06,10,truck,bus,car
470,827,Chhagalnaiya,5/19/2021 22:06,19,rickshaw,auto,
471,827,Gulshan,5/19/2021 22:06,19,rickshaw,auto,
472,828,Munshiganj,5/20/2021 22:01,Two,motorcycle,,
473,831,Brahmanbaria,5/21/2021 22:01,21,truck,bus,motorcycle
474,831,Brahmanbaria,5/21/2021 22:01,21,truck,bus,motorcycle
475,833,South,5/21/2021 23:43,One,truck,bike,motorcycle
476,833,Surma,5/21/2021 23:43,One,truck,bike,motorcycle
477,834,Oman,5/22/2021 22:04,Three,bus,,
478,835,Dhaka,5/22/2021 22:04,314,motorcycle,,
479,835,Mymensingh,5/22/2021 22:04,314,motorcycle,,
480,837,Quoting,5/22/2021 23:43,Three,truck,bus,
481,837,Bangladesh,5/22/2021 23:43,Three,truck,bus,
482,840,Choddopai,5/24/2021 22:04,13,bus,rickshaw,auto
483,840,Rajshahi,5/24/2021 22:04,13,bus,rickshaw,auto
484,842,Shamsuddin,5/25/2021 22:02,34,car,,
485,844,Sirajganj,5/27/2021 22:03,One,auto,,
486,845,Dhaka,5/27/2021 22:03,four,truck,bus,bike
